,YY,LE
AF,1961,44.304403846153846
AS,1961,56.66589285714286
EU,1961,71.73857142857143
NA,1961,60.43344444444444
OC,1961,57.00081818181818
SA,1961,59.340250000000005
AllWorld,1961,58.247230126355134
AF,1962,44.69673076923077
AS,1962,57.21728571428572
EU,1962,71.70617142857142
NA,1962,60.90774074074074
OC,1962,57.59781818181818
SA,1962,59.62825
AllWorld,1962,58.62566613910781
AF,1963,44.99280769230769
AS,1963,57.065629629629626
EU,1963,72.04437142857142
NA,1963,61.28837037037037
OC,1963,58.23572727272727
SA,1963,60.00975
AllWorld,1963,58.939442732267736
AF,1964,45.51630769230769
AS,1964,57.83262962962963
EU,1964,72.67405714285715
NA,1964,61.90514814814815
OC,1964,58.83890909090909
SA,1964,60.20625
AllWorld,1964,59.49555028397529
AF,1965,45.76751923076923
AS,1965,58.5407037037037
EU,1965,72.74091428571428
NA,1965,62.29581481481482
OC,1965,59.408545454545454
SA,1965,60.52725
AllWorld,1965,59.88012458159125
AF,1966,46.01328846153846
AS,1966,59.707142857142856
EU,1966,73.01008571428572
NA,1966,62.656851851851854
OC,1966,59.92581818181818
SA,1966,60.9085
AllWorld,1966,60.370281177772846
AF,1967,46.42119230769231
AS,1967,60.26621428571429
EU,1967,73.24374285714286
NA,1967,63.055814814814816
OC,1967,60.61454545454546
SA,1967,61.221
AllWorld,1967,60.80375161998496
AF,1968,46.80961538461538
AS,1968,60.85371428571428
EU,1968,73.21371428571429
NA,1968,63.40148148148148
OC,1968,61.15972727272728
SA,1968,61.543
AllWorld,1968,61.16354211837546
AF,1969,46.90788461538462
AS,1969,61.42607142857143
EU,1969,73.18197142857143
NA,1969,63.76685185185185
OC,1969,61.669
SA,1969,61.8445
AllWorld,1969,61.46604655406322
AF,1970,47.350884615384615
AS,1970,62.00060714285714
EU,1970,73.55765714285714
NA,1970,63.824888888888886
OC,1970,62.20563636363636
SA,1970,62.30875
AllWorld,1970,61.87473735893735
AF,1971,47.92419230769231
AS,1971,62.478678571428574
EU,1971,73.79474285714285
NA,1971,64.61922222222222
OC,1971,62.7359090909091
SA,1971,62.58425
AllWorld,1971,62.35616584156585
AF,1972,48.168326923076926
AS,1972,63.09967857142857
EU,1972,74.0582
NA,1972,64.71181481481482
OC,1972,62.920181818181824
SA,1972,63.09925
AllWorld,1972,62.67624202125035
AF,1973,48.876961538461536
AS,1973,63.635
EU,1973,74.2672
NA,1973,65.47714814814815
OC,1973,63.57390909090909
SA,1973,63.603
AllWorld,1973,63.238869796253134
AF,1974,49.25342307692308
AS,1974,64.0745
EU,1974,74.50908571428572
NA,1974,65.81992592592593
OC,1974,64.06418181818182
SA,1974,63.9925
AllWorld,1974,63.61893608921943
AF,1975,49.58188461538461
AS,1975,64.53732142857143
EU,1975,74.66
NA,1975,66.54540740740741
OC,1975,64.31109090909091
SA,1975,64.44775
AllWorld,1975,64.01390906007573
AF,1976,50.04109615384616
AS,1976,64.15567857142857
EU,1976,74.86354285714286
NA,1976,66.64655555555555
OC,1976,64.98063636363636
SA,1976,64.73425
AllWorld,1976,64.23695991693491
AF,1977,50.80767307692307
AS,1977,65.31464285714286
EU,1977,75.21825714285714
NA,1977,67.35051851851851
OC,1977,65.30836363636364
SA,1977,65.155
AllWorld,1977,64.85907587196755
AF,1978,51.33488461538462
AS,1978,65.78578571428571
EU,1978,75.28694285714286
NA,1978,67.68503571428572
OC,1978,65.95072727272726
SA,1978,65.41799999999999
AllWorld,1978,65.24356269563769
AF,1979,51.90415384615385
AS,1979,66.30550000000001
EU,1979,75.48257142857142
NA,1979,68.02039285714285
OC,1979,66.39054545454546
SA,1979,65.74175
AllWorld,1979,65.64081893106892
AF,1980,52.84809433962264
AS,1980,66.82014285714286
EU,1980,75.60482857142857
NA,1980,68.29514285714286
OC,1980,66.65463636363637
SA,1980,66.02175
AllWorld,1980,66.04076583149555
AF,1981,53.293283018867925
AS,1981,67.16407142857143
EU,1981,75.88554285714287
NA,1981,68.76432142857144
OC,1981,67.09918181818182
SA,1981,66.51175
AllWorld,1981,66.45302509188924
AF,1982,53.75650943396226
AS,1982,66.87707142857143
EU,1982,76.157
NA,1982,68.97082142857143
OC,1982,67.43372727272727
SA,1982,66.7955
AllWorld,1982,66.66510492730539
AF,1983,53.74418867924528
AS,1983,68.01417857142857
EU,1983,76.19477142857143
NA,1983,69.41696428571429
OC,1983,67.82809090909092
SA,1983,67.102
AllWorld,1983,67.05003231234174
