,YY,LE,CC
AF,1961,40.96619230769231,AF
AS,1961,52.61167857142857,AS
EU,1961,65.897,EU
NA,1961,56.498444444444445,NA
OC,1961,53.705090909090906,OC
SA,1961,53.6145,SA
AllWorld,1961,53.88215103877605,AllWorld
AF,1962,41.56965384615384,AF
AS,1962,53.00825,AS
EU,1962,65.84277142857142,EU
NA,1962,56.86133333333333,NA
OC,1962,54.20245454545454,OC
SA,1962,53.844,SA
AllWorld,1962,54.221410525585526,AllWorld
AF,1963,41.80107692307692,AF
AS,1963,52.72133333333334,AS
EU,1963,66.04354285714285,EU
NA,1963,57.29025925925926,NA
OC,1963,54.71163636363636,OC
SA,1963,54.14575,SA
AllWorld,1963,54.45226645607479,AllWorld
AF,1964,42.36382692307692,AF
AS,1964,53.52662962962963,AS
EU,1964,66.6088,EU
NA,1964,57.82081481481482,NA
OC,1964,55.18645454545455,OC
SA,1964,54.3535,SA
AllWorld,1964,54.97667098549599,AllWorld
AF,1965,42.53855769230769,AF
AS,1965,54.26714814814815,AS
EU,1965,66.6278,EU
NA,1965,57.98762962962963,NA
OC,1965,55.620909090909095,OC
SA,1965,54.6385,SA
AllWorld,1965,55.28009076016576,AllWorld
AF,1966,42.75609615384615,AF
AS,1966,55.44425,AS
EU,1966,66.80677142857144,EU
NA,1966,58.43992592592593,NA
OC,1966,55.99872727272727,OC
SA,1966,55.06725,SA
AllWorld,1966,55.75217013017846,AllWorld
AF,1967,43.10742307692307,AF
AS,1967,55.93953571428572,AS
EU,1967,66.92948571428572,EU
NA,1967,58.76444444444445,NA
OC,1967,56.49127272727273,OC
SA,1967,55.346,SA
AllWorld,1967,56.09636027953528,AllWorld
AF,1968,43.48242307692307,AF
AS,1968,56.49275,AS
EU,1968,66.81128571428572,EU
NA,1968,59.0614074074074,NA
OC,1968,56.93172727272727,OC
SA,1968,55.55625,SA
AllWorld,1968,56.389307245223904,AllWorld
AF,1969,43.49894230769231,AF
AS,1969,56.98332142857144,AS
EU,1969,66.57222857142858,EU
NA,1969,59.35574074074074,NA
OC,1969,57.36681818181818,OC
SA,1969,55.87075,SA
AllWorld,1969,56.60796687170853,AllWorld
AF,1970,43.920923076923074,AF
AS,1970,57.489357142857145,AS
EU,1970,66.81045714285715,EU
NA,1970,59.46333333333333,NA
OC,1970,57.738818181818175,OC
SA,1970,56.361,SA
