,YY,F,CC,M,T
AF,1961,44.30440385,AF,40.96619231,42.59774953
AS,1961,56.66589286,AS,52.61167857,54.57121603
EU,1961,71.73857143,EU,65.897,68.76038955
NA,1961,60.43344444,NA,56.49844444,58.43625926
OC,1961,57.00081818,OC,53.70509091,55.16385144
SA,1961,59.34025,SA,53.6145,56.37
AllWorld,1961,58.24723013,AllWorld,53.88215104,55.9832443
AF,1962,44.69673077,AF,41.56965385,43.11081332
AS,1962,57.21728571,AS,53.00825,55.04108624
EU,1962,71.70617143,EU,65.84277143,68.71869059
NA,1962,60.90774074,NA,56.86133333,58.84933424
OC,1962,57.59781818,OC,54.20245455,55.70679157
SA,1962,59.62825,SA,53.844,56.62425
AllWorld,1962,58.62566614,AllWorld,54.22141053,56.34182766
AF,1963,44.99280769,AF,41.80107692,43.37158114
AS,1963,57.06562963,AS,52.72133333,54.81610388
EU,1963,72.04437143,EU,66.04354286,68.98485017
NA,1963,61.28837037,NA,57.29025926,59.25809304
OC,1963,58.23572727,OC,54.71163636,56.2745898
SA,1963,60.00975,SA,54.14575,56.96675
AllWorld,1963,58.93944273,AllWorld,54.45226646,56.61199467
AF,1964,45.51630769,AF,42.36382692,43.91963462
AS,1964,57.83262963,AS,53.52662963,55.6059729
EU,1964,72.67405714,EU,66.6088,69.58336098
NA,1964,61.90514815,NA,57.82081481,59.8307841
OC,1964,58.83890909,OC,55.18645455,56.8061153
SA,1964,60.20625,SA,54.3535,57.16775
AllWorld,1964,59.49555028,AllWorld,54.97667099,57.15226965
AF,1965,45.76751923,AF,42.53855769,44.12722795
AS,1965,58.5407037,AS,54.26714815,56.33374255
EU,1965,72.74091429,EU,66.6278,69.62530174
NA,1965,62.29581481,NA,57.98762963,60.09926197
OC,1965,59.40854545,OC,55.62090909,57.30543902
SA,1965,60.52725,SA,54.6385,57.47275
AllWorld,1965,59.88012458,AllWorld,55.28009076,57.49395387
AF,1966,46.01328846,AF,42.75609615,44.35446529
AS,1966,59.70714286,AS,55.44425,57.50466725
EU,1966,73.01008571,EU,66.80677143,69.84847387
NA,1966,62.65685185,NA,58.43992593,60.51167028
OC,1966,59.92581818,OC,55.99872727,57.74876275
SA,1966,60.9085,SA,55.06725,57.88625
AllWorld,1966,60.37028118,AllWorld,55.75217013,57.97571491
AF,1967,46.42119231,AF,43.10742308,44.73466417
AS,1967,60.26621429,AS,55.93953571,58.03102875
EU,1967,73.24374286,EU,66.92948571,70.02572962
NA,1967,63.05581481,NA,58.76444444,60.87163144
OC,1967,60.61454545,OC,56.49127273,58.33137916
SA,1967,61.221,SA,55.346,58.1795
AllWorld,1967,60.80375162,AllWorld,56.09636028,58.36232219
AF,1968,46.80961538,AF,43.48242308,45.11693856
AS,1968,60.85371429,AS,56.49275,58.60223345
EU,1968,73.21371429,EU,66.81128571,69.94864251
NA,1968,63.40148148,NA,59.06140741,61.19102439
OC,1968,61.15972727,OC,56.93172727,58.82339911
SA,1968,61.543,SA,55.55625,58.43825
AllWorld,1968,61.16354212,AllWorld,56.38930725,58.686748
AF,1969,46.90788462,AF,43.49894231,45.17
AS,1969,61.42607143,AS,56.98332143,59.13267857
