continent,Year,life,Entity
AF,1991,53.035185185185185,
AF,1992,52.7925925925926,
AF,1993,53.09444444444444,
AF,1994,53.233333333333334,
AF,1995,53.4425925925926,
AF,1996,53.48518518518519,
AF,1997,53.5,
AF,1998,53.135185185185186,
AF,1999,53.82592592592592,
AF,2000,54.49074074074074,
AF,2001,54.80555555555556,
AF,2002,55.211111111111116,
AF,2003,55.64074074074074,
AF,2004,56.14074074074074,
AF,2005,56.67407407407408,
AF,2006,57.30185185185186,
AF,2007,57.870370370370374,
AF,2008,58.43333333333334,
AF,2009,59.05555555555556,
AF,2010,59.672222222222224,
AF,2011,60.285185185185185,
AF,2012,60.879629629629626,
AF,2013,61.41851851851852,
AF,2014,61.84814814814815,
AF,2015,62.333333333333336,
AF,2016,62.861111111111114,
AF,2017,63.28333333333334,
AF,2018,63.59444444444444,
AF,2019,63.93333333333334,
AF,2020,63.470370370370375,
AF,2021,62.76851851851852,
AS,1991,67.8,
AS,1992,67.82068965517242,
AS,1993,68.05862068965517,
AS,1994,68.34137931034483,
AS,1995,68.59655172413792,
AS,1996,68.80689655172414,
AS,1997,68.99655172413793,
AS,1998,69.22758620689655,
AS,1999,69.60344827586206,
AS,2000,69.91034482758621,
AS,2001,70.25862068965517,
AS,2002,70.52413793103449,
AS,2003,70.8,
AS,2004,71.13448275862069,
AS,2005,71.34482758620689,
AS,2006,71.61379310344829,
AS,2007,71.93793103448276,
AS,2008,72.26896551724138,
AS,2009,72.64137931034483,
AS,2010,73.0,
AS,2011,73.13793103448276,
AS,2012,73.2551724137931,
AS,2013,73.44827586206897,
AS,2014,73.58275862068966,
AS,2015,73.85517241379311,
AS,2016,74.0758620689655,
AS,2017,74.43103448275862,
AS,2018,74.60344827586206,
AS,2019,74.77931034482758,
AS,2020,73.57241379310345,
AS,2021,73.2896551724138,
EU,1991,73.93333333333334,
EU,1992,73.68461538461538,
EU,1993,73.53589743589744,
EU,1994,74.29743589743589,
EU,1995,74.35897435897436,
EU,1996,74.76410256410257,
EU,1997,75.05641025641025,
EU,1998,75.3,
EU,1999,75.5051282051282,
EU,2000,75.75897435897436,
EU,2001,76.16153846153847,
EU,2002,76.29230769230769,
EU,2003,76.49230769230769,
EU,2004,76.90512820512821,
EU,2005,77.07435897435897,
EU,2006,77.46923076923078,
EU,2007,77.63333333333333,
EU,2008,77.98717948717949,
EU,2009,78.25384615384615,
EU,2010,78.48717948717949,
EU,2011,78.83333333333333,
EU,2012,78.90512820512821,
EU,2013,79.12307692307692,
EU,2014,79.3923076923077,
EU,2015,79.38717948717948,
EU,2016,79.70769230769231,
EU,2017,79.85897435897436,
EU,2018,79.98205128205129,
