,YY,LE,CC
AF,1961,42.59774953095685,AF
AS,1961,54.57121602787457,AS
EU,1961,68.76038954703833,EU
NA,1961,58.43625925925926,NA
OC,1961,55.16385144124169,OC
SA,1961,56.370000000000005,SA
AllWorld,1961,55.98324430106178,AllWorld
AF,1962,43.11081332082552,AF
AS,1962,55.0410862369338,AS
EU,1962,68.7186905923345,EU
NA,1962,58.8493342366757,NA
OC,1962,55.70679157427938,OC
SA,1962,56.62425,SA
AllWorld,1962,56.34182766017482,AllWorld
AF,1963,43.371581144465296,AF
AS,1963,54.816103884372176,AS
EU,1963,68.98485017421604,EU
NA,1963,59.25809304426378,NA
OC,1963,56.27458980044346,OC
SA,1963,56.966750000000005,SA
AllWorld,1963,56.61199467462679,AllWorld
AF,1964,43.919634615384616,AF
AS,1964,55.60597289972899,AS
EU,1964,69.58336097560976,EU
NA,1964,59.83078410117434,NA
OC,1964,56.806115299334806,OC
SA,1964,57.16775,SA
AllWorld,1964,57.15226964853876,AllWorld
AF,1965,44.12722795497186,AF
AS,1965,56.33374254742548,AS
EU,1965,69.62530174216027,EU
NA,1965,60.09926196928636,NA
OC,1965,57.305439024390246,OC
SA,1965,57.472750000000005,SA
AllWorld,1965,57.49395387303904,AllWorld
AF,1966,44.35446529080676,AF
AS,1966,57.50466724738676,AS
EU,1966,69.84847386759583,EU
NA,1966,60.511670280036135,NA
OC,1966,57.74876274944568,OC
SA,1966,57.88625,SA
AllWorld,1966,57.97571490587853,AllWorld
AF,1967,44.73466416510319,AF
AS,1967,58.031028745644605,AS
EU,1967,70.02572961672475,EU
NA,1967,60.87163143631437,NA
OC,1967,58.33137915742793,OC
SA,1967,58.1795,SA
AllWorld,1967,58.36232218686914,AllWorld
AF,1968,45.11693855534709,AF
AS,1968,58.60223344947735,AS
EU,1968,69.9486425087108,EU
NA,1968,61.1910243902439,NA
OC,1968,58.82339911308204,OC
SA,1968,58.43825,SA
AllWorld,1968,58.68674800281019,AllWorld
AF,1969,45.17,AF
AS,1969,59.13267857142858,AS
EU,1969,69.8098355400697,EU
NA,1969,61.51946522131888,NA
OC,1969,59.30674279379157,OC
SA,1969,58.7475,SA
AllWorld,1969,58.947703687768126,AllWorld
AF,1970,45.60300703564728,AF
AS,1970,59.67033885017422,AS
EU,1970,70.11483972125437,EU
NA,1970,61.602457091237575,NA
OC,1970,59.75992461197339,OC
SA,1970,59.235,SA
AllWorld,1970,59.3309278850478,AllWorld
AF,1971,46.16103799249531,AF
AS,1971,60.11917944250872,AS
EU,1971,70.31143344947736,EU
NA,1971,62.33203252032521,NA
OC,1971,60.2500155210643,OC
SA,1971,59.54075,SA
AllWorld,1971,59.78574148764515,AllWorld
AF,1972,46.383489681050655,AF
AS,1972,60.79907578397213,AS
EU,1972,70.5761818815331,EU
NA,1972,62.42302077687444,NA
OC,1972,60.43520620842572,OC
SA,1972,60.00725,SA
AllWorld,1972,60.10403738864267,AllWorld
AF,1973,47.15905206378987,AF
AS,1973,61.25625609756098,AS
EU,1973,70.76593170731707,EU
NA,1973,63.13872628726287,NA
OC,1973,60.96457206208425,OC
SA,1973,60.4655,SA
AllWorld,1973,60.62500636966917,AllWorld
AF,1974,47.56295684803002,AF
AS,1974,61.23189634146342,AS
EU,1974,70.96718327526133,EU
NA,1974,63.515694670280034,NA
OC,1974,61.43439911308204,OC
SA,1974,60.84825,SA
AllWorld,1974,60.92673004135281,AllWorld
AF,1975,47.87636163227017,AF
AS,1975,61.87813414634147,AS
EU,1975,71.05809965156796,EU
NA,1975,64.1319241192412,NA
OC,1975,61.672137472283815,OC
SA,1975,61.2555,SA
AllWorld,1975,61.3120261702841,AllWorld
AF,1976,48.24914962476548,AF
AS,1976,61.569094076655055,AS
EU,1976,71.25519721254356,EU
NA,1976,64.20347515808491,NA
OC,1976,62.25363192904656,OC
SA,1976,61.57975,SA
AllWorld,1976,61.51838300018259,AllWorld
AF,1977,48.98288649155722,AF
AS,1977,62.860788327526144,AS
EU,1977,71.55128222996515,EU
NA,1977,64.7737443541102,NA
OC,1977,62.526572062084256,OC
SA,1977,62.02475,SA
AllWorld,1977,62.12000391087383,AllWorld
AF,1978,49.41574859287054,AF
AS,1978,63.279552264808366,AS
EU,1978,71.59948222996516,EU
NA,1978,64.93287979094076,NA
OC,1978,63.13041019955654,OC
SA,1978,62.398,SA
AllWorld,1978,62.45934551302357,AllWorld
AF,1979,49.958335365853664,AF
AS,1979,63.69876219512195,AS
EU,1979,71.75414982578398,EU
NA,1979,65.07878571428571,NA
OC,1979,63.52829933481154,OC
SA,1979,62.79675,SA
AllWorld,1979,62.80251373930948,AllWorld
AF,1980,50.88243488265071,AF
AS,1980,64.06085191637632,AS
EU,1980,71.84714634146341,EU
NA,1980,65.4391149825784,NA
OC,1980,63.8340243902439,OC
SA,1980,63.148,SA
AllWorld,1980,63.201928752218784,AllWorld
AF,1981,51.30452369995398,AF
AS,1981,64.23369425087108,AS
EU,1981,72.11785574912892,EU
NA,1981,65.77926655052265,NA
OC,1981,64.22581374722837,OC
SA,1981,63.6625,SA
AllWorld,1981,63.55394233295084,AllWorld
AF,1982,51.71660653474459,AF
AS,1982,63.75029878048781,AS
EU,1982,72.4179205574913,EU
NA,1982,65.97774825783972,NA
OC,1982,64.52885365853659,OC
SA,1982,63.95125,SA
AllWorld,1982,63.72377963151667,AllWorld
AF,1983,51.690878508973775,AF
AS,1983,64.95523606271777,AS
EU,1983,72.3855087108014,EU
NA,1983,66.31891463414634,NA
OC,1983,64.90187361419069,OC
SA,1983,64.277,SA
AllWorld,1983,64.08823525513831,AllWorld
AF,1984,51.889482282558674,AF
AS,1984,65.2580993031359,AS
EU,1984,72.6267324041812,EU
NA,1984,66.81631707317074,NA
OC,1984,65.30861197339246,OC
SA,1984,64.5475,SA
AllWorld,1984,64.40779050607317,AllWorld
AF,1985,52.23553198343304,AF
AS,1985,65.61792508710802,AS
EU,1985,72.68203414634148,EU
NA,1985,67.11180836236933,NA
OC,1985,65.56647893569844,OC
SA,1985,64.92075,SA
AllWorld,1985,64.68908808582505,AllWorld
AF,1986,52.58417257248044,AF
AS,1986,66.08522822299652,AS
EU,1986,73.16780627177702,EU
NA,1986,67.56577351916377,NA
OC,1986,65.80472283813748,OC
SA,1986,65.2875,SA
AllWorld,1986,65.08253390409254,AllWorld
AF,1987,52.57448228255867,AF
AS,1987,66.46021951219512,AS
EU,1987,73.41604181184668,EU
NA,1987,67.92372212543555,NA
OC,1987,66.52529268292683,OC
SA,1987,65.73124999999999,SA
AllWorld,1987,65.4385014024938,AllWorld
AF,1988,52.38338978370916,AF
AS,1988,66.20239721254356,AS
EU,1988,73.58441184668989,EU
NA,1988,68.32226742160279,NA
OC,1988,66.40867184035477,OC
SA,1988,66.17725,SA
AllWorld,1988,65.51306468415004,AllWorld
AF,1989,53.145579843534286,AF
AS,1989,67.3572212543554,AS
EU,1989,73.65181393728224,EU
NA,1989,68.54924303135888,NA
OC,1989,66.64994456762749,OC
SA,1989,66.52199999999999,SA
AllWorld,1989,65.97930043902637,AllWorld
AF,1990,53.12449424758398,AF
AS,1990,67.54387216148024,AS
EU,1990,73.69341811846691,EU
NA,1990,68.94662543554007,NA
OC,1990,67.12469308943089,OC
SA,1990,66.81675,SA
AllWorld,1990,66.20830884208368,AllWorld
AF,1991,52.96862816382881,AF
AS,1991,68.07836837678722,AS
EU,1991,73.6261632791328,EU
NA,1991,69.26171864111498,NA
OC,1991,67.22533702882484,OC
SA,1991,67.2065,SA
AllWorld,1991,66.39445258161477,AllWorld
AF,1992,52.72370133456052,AF
