Year,LE,continent
1950,27.7,AS
1951,28.0,AS
1952,28.4,AS
1953,28.9,AS
1954,29.2,AS
1955,29.9,AS
1956,30.4,AS
1957,30.9,AS
1958,31.5,AS
1959,32.0,AS
1960,32.5,AS
1961,33.1,AS
1962,33.5,AS
1963,34.0,AS
1964,34.5,AS
1965,35.0,AS
1966,35.5,AS
1967,35.9,AS
1968,36.4,AS
1969,36.9,AS
1970,37.4,AS
1971,37.9,AS
1972,38.4,AS
1973,39.0,AS
1974,39.5,AS
1975,40.1,AS
1976,40.6,AS
1977,41.2,AS
1978,40.3,AS
1979,39.1,AS
1980,39.6,AS
1981,40.2,AS
1982,37.8,AS
1983,38.2,AS
1984,33.3,AS
1985,33.6,AS
1986,39.4,AS
1987,39.8,AS
1988,44.0,AS
1989,45.2,AS
1990,46.0,AS
1991,46.7,AS
1992,47.6,AS
1993,51.5,AS
1994,51.5,AS
1995,52.5,AS
1996,53.2,AS
1997,53.6,AS
1998,52.9,AS
1999,54.8,AS
2000,55.3,AS
2001,55.8,AS
2002,56.5,AS
2003,57.3,AS
2004,57.9,AS
2005,58.4,AS
2006,58.7,AS
2007,59.1,AS
2008,59.9,AS
2009,60.4,AS
2010,60.9,AS
2011,61.4,AS
2012,61.9,AS
2013,62.4,AS
2014,62.5,AS
2015,62.7,AS
2016,63.1,AS
2017,63.0,AS
2018,63.1,AS
2019,63.6,AS
2020,62.6,AS
2021,62.0,AS
1770,26.4,
1950,37.6,
1951,37.9,
1952,38.4,
1953,38.9,
1954,39.3,
1955,39.8,
1956,40.2,
1957,40.0,
1958,40.3,
1959,41.3,
1960,41.5,
1961,41.9,
1962,42.3,
1963,42.8,
1964,43.2,
1965,43.4,
1966,43.4,
1967,43.6,
1968,44.1,
1969,44.3,
1970,44.8,
1971,45.3,
1972,45.4,
1973,46.2,
1974,46.5,
1975,46.9,
1976,47.6,
1977,48.2,
1978,48.6,
1979,49.1,
1980,49.5,
1981,49.9,
1982,50.3,
1983,49.6,
1984,49.7,
1985,50.1,
1986,50.6,
1987,50.9,
1988,50.4,
1989,51.7,
1990,51.6,
1991,51.5,
1992,51.2,
1993,51.5,
1994,50.5,
1995,52.1,
1996,52.1,
1997,52.3,
1998,51.9,
1999,52.8,
2000,53.3,
2001,53.6,
2002,54.0,
2003,54.4,
2004,54.9,
2005,55.5,
2006,56.1,
2007,56.7,
2008,57.3,
2009,58.0,
2010,58.6,
2011,59.3,
2012,59.8,
2013,60.3,
2014,60.7,
2015,61.1,
2016,61.6,
2017,62.0,
2018,62.3,
2019,62.7,
2020,62.2,
2021,61.7,
1950,44.7,EU
1951,45.1,EU
1952,46.0,EU
1953,46.5,EU
1954,47.6,EU
1955,48.5,EU
1956,49.6,EU
1957,50.7,EU
1958,52.0,EU
1959,53.2,EU
1960,54.4,EU
1961,55.6,EU
1962,56.7,EU
1963,57.8,EU
1964,59.0,EU
1965,60.0,EU
1966,61.0,EU
1967,62.0,EU
1968,62.9,EU
1969,63.9,EU
1970,64.8,EU
1971,65.6,EU
1972,66.4,EU
1973,67.1,EU
1974,67.8,EU
1975,68.3,EU
1976,68.7,EU
1977,69.1,EU
1978,69.3,EU
1979,69.6,EU
1980,70.5,EU
1981,70.7,EU
1982,71.0,EU
1983,71.3,EU
1984,71.5,EU
1985,71.7,EU
1986,71.9,EU
1987,72.4,EU
1988,72.6,EU
1989,72.9,EU
1990,73.1,EU
1991,73.4,EU
1992,73.7,EU
1993,73.9,EU
1994,74.1,EU
1995,74.4,EU
1996,74.6,EU
1997,73.9,EU
1998,75.0,EU
1999,75.2,EU
2000,75.4,EU
2001,75.6,EU
2002,75.9,EU
2003,76.1,EU
2004,76.4,EU
2005,76.6,EU
2006,76.8,EU
2007,77.5,EU
2008,77.7,EU
2009,77.8,EU
2010,77.9,EU
2011,78.1,EU
2012,78.1,EU
2013,78.1,EU
2014,78.4,EU
2015,78.6,EU
2016,78.9,EU
2017,79.0,EU
2018,79.2,EU
2019,79.3,EU
2020,77.0,EU
2021,76.5,EU
1923,28.82,AF
1933,31.22,AF
1943,33.72,AF
1950,42.4,AF
1951,42.5,AF
1952,42.9,AF
1953,42.9,AF
1954,40.2,AF
1955,40.4,AF
1956,40.3,AF
1957,40.4,AF
1958,40.4,AF
1959,40.5,AF
1960,40.5,AF
1961,40.5,AF
1962,39.3,AF
1963,42.9,AF
1964,42.8,AF
1965,42.7,AF
1966,42.5,AF
1967,42.6,AF
1968,42.6,AF
1969,42.8,AF
1970,43.2,AF
1971,43.7,AF
1972,44.3,AF
1973,45.1,AF
1974,46.0,AF
1975,47.0,AF
1976,48.0,AF
1977,49.2,AF
1978,50.4,AF
1979,51.8,AF
1980,53.3,AF
1981,55.3,AF
1982,57.4,AF
1983,59.5,AF
1984,61.7,AF
1985,63.6,AF
1986,65.2,AF
1987,65.8,AF
1988,67.0,AF
1989,67.1,AF
1990,67.4,AF
1991,67.7,AF
1992,67.8,AF
1993,67.7,AF
1994,67.4,AF
1995,67.5,AF
1996,68.7,AF
1997,69.2,AF
1998,69.5,AF
1999,70.0,AF
2000,70.5,AF
2001,70.8,AF
2002,71.2,AF
2003,71.3,AF
2004,71.8,AF
2005,72.1,AF
2006,72.3,AF
2007,72.6,AF
2008,72.9,AF
2009,73.6,AF
2010,73.8,AF
2011,74.1,AF
2012,74.2,AF
2013,74.6,AF
2014,75.1,AF
2015,75.6,AF
2016,75.7,AF
2017,75.7,AF
2018,76.1,AF
2019,76.5,AF
2020,74.5,AF
2021,76.4,AF
1950,61.0,OC
1951,61.4,OC
1952,61.6,OC
1953,61.3,OC
1954,62.1,OC
1955,62.3,OC
1956,62.6,OC
1957,62.9,OC
1958,63.3,OC
1959,63.6,OC
1960,64.7,OC
1961,65.5,OC
1962,65.9,OC
1963,65.9,OC
1964,66.3,OC
1965,66.3,OC
1966,58.8,OC
1967,66.2,OC
1968,66.2,OC
1969,66.4,OC
1970,66.6,OC
1971,67.1,OC
1972,67.3,OC
1973,67.4,OC
1974,67.7,OC
1975,67.8,OC
1976,68.0,OC
1977,68.2,OC
1978,68.5,OC
1979,68.7,OC
1980,68.9,OC
1981,69.2,OC
1982,69.3,OC
