,YY,CC,LE,LEPred
AF,1950,AF,38.92777778,
AS,1950,AS,47.79655172,
EU,1950,EU,63.67435897,
NA,1950,NA,52.24761905,
OC,1950,OC,50.395,
SA,1950,SA,52.23076923,
AllWorld,1950,AllWorld,50.87867946,
AF,1951,AF,39.08703704,
AS,1951,AS,47.96551724,
EU,1951,EU,63.86923077,
NA,1951,NA,52.61904762,
OC,1951,OC,50.505,
SA,1951,SA,52.64615385,
AllWorld,1951,AllWorld,51.11533109,
AF,1952,AF,39.48888889,
AS,1952,AS,48.54482759,
EU,1952,EU,64.82307692,
NA,1952,NA,53.28571429,
OC,1952,OC,51.315,
SA,1952,SA,53.17692308,
AllWorld,1952,AllWorld,51.77240513,
AF,1953,AF,39.85740741,
AS,1953,AS,49.17241379,
EU,1953,EU,65.24615385,
NA,1953,NA,53.86666667,
OC,1953,OC,51.875,
SA,1953,SA,53.65384615,
AllWorld,1953,AllWorld,52.27858131,
AF,1954,AF,40.24074074,
AS,1954,AS,49.74137931,
EU,1954,EU,65.86666667,
NA,1954,NA,54.61904762,
OC,1954,OC,52.45,
SA,1954,SA,54.18461538,
AllWorld,1954,AllWorld,52.85040829,
AF,1955,AF,40.66111111,
AS,1955,AS,50.3,
EU,1955,EU,66.34102564,
NA,1955,NA,55.21428571,
OC,1955,OC,53.02,
SA,1955,SA,54.62307692,
AllWorld,1955,AllWorld,53.35991656,
AF,1956,AF,40.97407407,
AS,1956,AS,50.93103448,
EU,1956,EU,66.61538462,
NA,1956,NA,55.91428571,
OC,1956,OC,53.41,
SA,1956,SA,55.22307692,
AllWorld,1956,AllWorld,53.84464263,
AF,1957,AF,41.23333333,
AS,1957,AS,51.53448276,
EU,1957,EU,66.81282051,
NA,1957,NA,56.53333333,
OC,1957,OC,54.05,
SA,1957,SA,55.68461538,
AllWorld,1957,AllWorld,54.30809755,
AF,1958,AF,41.52037037,
AS,1958,AS,52.34827586,
EU,1958,EU,67.74871795,
NA,1958,NA,57.22380952,
OC,1958,OC,54.6,
SA,1958,SA,56.26923077,
AllWorld,1958,AllWorld,54.95173408,
AF,1959,AF,42.06851852,
AS,1959,AS,52.8862069,
EU,1959,EU,67.96153846,
NA,1959,NA,57.78095238,
OC,1959,OC,55.09,
SA,1959,SA,56.69230769,
AllWorld,1959,AllWorld,55.41325399,
AF,1960,AF,42.36851852,
AS,1960,AS,53.6862069,
EU,1960,EU,68.52307692,
NA,1960,NA,58.45714286,
OC,1960,OC,55.68,
SA,1960,SA,57.22307692,
AllWorld,1960,AllWorld,55.98967035,
AF,1961,AF,42.74444444,
AS,1961,AS,54.38965517,
EU,1961,EU,68.75641026,
NA,1961,NA,58.95238095,
OC,1961,OC,56.175,
SA,1961,SA,57.7,
AllWorld,1961,AllWorld,56.4529818,
AF,1962,AF,43.2537037,
AS,1962,AS,54.86551724,
EU,1962,EU,68.57435897,
NA,1962,NA,59.37142857,
OC,1962,OC,56.68,
SA,1962,SA,58.02307692,
AllWorld,1962,AllWorld,56.7946809,
AF,1963,AF,43.51851852,
AS,1963,AS,55.25862069,
EU,1963,EU,68.96153846,
NA,1963,NA,59.8,
OC,1963,OC,57.155,
SA,1963,SA,58.36923077,
AllWorld,1963,AllWorld,57.17715141,
AF,1964,AF,44.02962963,
AS,1964,AS,56.02413793,
EU,1964,EU,69.50512821,
NA,1964,NA,60.36666667,
OC,1964,OC,57.635,
SA,1964,SA,58.79230769,
AllWorld,1964,AllWorld,57.72547835,
AF,1965,AF,44.26111111,
