Year,continent,female,male,health expenditure per capita,all,GDP per capita,Female,Male,Health,All,GDP
2000,AF,56.2037037,52.79259259,142.6923658,54.46326531,3297.140367,6.793988298,6.840918069,0.382001949,6.609619576,0.933078895
2000,AS,72.65862069,67.35172414,711.031462,69.91034483,12335.75371,8.78308343,8.727505204,1.903503404,8.484265149,3.490974045
2000,EU,79.17179487,72.31282051,1470.475147,75.30882353,23782.69841,9.570405728,9.37036914,3.936611242,9.139420331,6.730418327
2000,NA,74.72857143,69.41904762,922.7005683,72.00625,13709.47731,9.03330219,8.995391093,2.470163089,8.738622573,3.879732894
2000,OC,71.73,66.74,370.9281029,78.7,26823.018,8.670830363,8.648237366,0.993012186,9.550970874,7.590817864
2000,SA,73.92307692,67.48461538,531.3069572,71.46,9697.09196,8.935932802,8.744725388,1.42236266,8.672330097,2.744242236
2001,AF,56.43518519,53.17222222,155.525332,54.73061224,3539.111543,6.821970127,6.890110864,0.416357102,6.642064593,1.00155587
2001,AS,73.03793103,67.67241379,765.6667089,70.25862069,12851.3811,8.828935035,8.769060497,2.049767506,8.526531637,3.636894747
2001,EU,79.60512821,72.7,1584.26599,75.62058824,24512.04911,9.622787713,9.420540253,4.241240883,9.177255854,6.93682196
2001,NA,74.92857143,69.63809524,975.0577838,72.1875,13821.17129,9.057478492,9.023775507,2.61032867,8.760618932,3.91134189
2001,OC,71.925,67.075,327.6397471,78.7,27167.318,8.694402256,8.691647008,0.877124863,9.550970874,7.688253529
2001,SA,74.10769231,67.57692308,540.4775035,71.61,9656.92457,8.958249388,8.756686713,1.446913143,8.690533981,2.732875008
2002,AF,56.82592593,53.59444444,161.3972844,55.13673469,3692.290612,6.869203456,6.944822851,0.432076915,6.691351298,1.044904997
2002,AS,73.26551724,67.96206897,782.7633253,70.52413793,13521.64095,8.856445998,8.806594311,2.095536884,8.558754603,3.826575878
2002,EU,79.61538462,72.93333333,1725.14877,75.72352941,25159.69495,9.624027524,9.450775825,4.618398384,9.189748715,7.120103409
2002,NA,75.27619048,69.87619048,1046.937058,72.5,14133.44709,9.099499205,9.054628131,2.802756784,8.798543689,3.999714821
2002,OC,72.1,67.075,355.4714689,78.9,28065.855,8.71555652,8.691647008,0.951633208,9.575242718,7.942536277
2002,SA,74.48461538,67.97692308,529.5792618,72.09,9413.51462,9.003812417,8.808519122,1.417737444,8.748786408,2.663990866
2003,AF,57.20925926,54.07407407,175.042786,55.54897959,3821.420602,6.915541367,7.006973748,0.468607308,6.741381018,1.081448321
2003,AS,73.62413793,68.18275862,822.6586642,70.8,14392.1169,8.899796607,8.835191502,2.202340756,8.59223301,4.07291745
2003,EU,79.76410256,73.2025641,1829.021884,75.85294118,25819.86419,9.642004773,9.485663023,4.896477257,9.205454026,7.306928934
2003,NA,75.40952381,70.08571429,1108.549502,72.6375,14543.94011,9.115616739,9.08177844,2.96769955,8.815230583,4.115882873
2003,OC,72.335,67.28,356.8873248,79.2,28876.287,8.743963674,8.718211117,0.955423598,9.611650485,8.171885625
2003,SA,74.52307692,68.12307692,537.0931422,72.24,9517.2634,9.008461705,8.827457886,1.437852865,8.766990291,2.693351398
2004,AF,57.71481481,54.57777778,182.1478023,56.09795918,4054.71512,6.976653683,7.072244188,0.487628157,6.808004755,1.147469832
2004,AS,73.95517241,68.49310345,833.8460677,71.13448276,15718.01116,8.939812554,8.875406301,2.232290571,8.632825578,4.448140767
2004,EU,80.19487179,73.57948718,1957.37745,76.33235294,26953.82455,9.694076806,9.5345051,5.240098138,9.263635066,7.627835649
2004,NA,75.54761905,70.17619048,1175.144699,72.85625,15004.23048,9.132309899,9.093502437,3.145981654,8.841777913,4.246143397
2004,OC,72.34,67.395,398.0389833,79.4,29806.734,8.744568081,8.733112935,1.065590765,9.63592233,8.435198788
2004,SA,74.88461538,68.49230769,562.8889974,72.63,10138.86347,9.052165019,8.875303186,1.506910988,8.814320388,2.869261988
2005,AF,58.26666667,55.08333333,186.8479982,56.63469388,4246.149578,7.043362366,7.137754593,0.500211059,6.873142461,1.201645097
2005,AS,74.2,68.70344828,817.6874599,71.34482759,16528.60814,8.969407681,8.902662999,2.189032338,8.658352862,4.677536807
2005,EU,80.35128205,73.75384615,2059.843754,76.46176471,27957.97968,9.712983913,9.557098714,5.514410833,9.279340377,7.912007949
2005,NA,75.86190476,70.53809524,1232.589271,73.1625,15476.77781,9.17030123,9.140398426,3.299766605,8.878944175,4.379872597
2005,OC,72.48,67.57,515.6317728,80.1,30270.248,8.761491492,8.755789614,1.3803986,9.720873786,8.566371587
2005,SA,75.19230769,68.83846154,596.8604851,72.94,10673.0025,9.089359328,8.920158155,1.597856109,8.851941748,3.020421417
2006,AF,58.91666667,55.6962963,198.7328862,57.22857143,4457.27281,7.121935344,7.21718296,0.532028111,6.945214979,1.261392214
2006,AS,74.59655172,68.84482759,841.1362673,71.6137931,17782.45341,9.01734345,8.920983074,2.251807175,8.690994309,5.032370519
2006,EU,80.65128205,74.23076923,2224.742001,76.84411765,29282.1861,9.749248365,9.618898894,5.955860181,9.325742433,8.286753613
2006,NA,76.15714286,70.75714286,1306.446222,73.425,16146.81312,9.205990055,9.16878284,3.49748916,8.910800971,4.569490185
2006,OC,72.525,67.765,461.3478966,80,30798.63,8.76693116,8.781057913,1.235075153,9.708737864,8.715901798
