Year,continent,female,male,health expenditure per capita,all,GDP per capita,,Female,Male,Health,All,GDP
2000,AF,56.2037037037037,52.7925925925926,142.69236577033996,54.463265306122445,3297.1403673469385,1,6.20426659870769,5.971947473342357,1.581931548920986,5.529307447963507,2.8211287159305227
2000,AS,72.65862068965517,67.35172413793103,711.0314620091365,69.91034482758621,12335.753710344827,2,8.660035233962102,8.006918231643894,3.6957891599718775,7.46170175280281,6.3939449394795425
2000,EU,79.17179487179487,72.31282051282051,1470.4751465741326,75.30882352941177,23782.698405882355,3,6.984733995862772,6.8199339896527,2.1710974877020788,6.279540141719625,3.249894826073036
2000,NA,74.72857142857143,69.41904761904762,922.7005683051216,72.00625,13709.477306249999,4,5.854133545310013,5.721026983440648,0.6352779801814116,8.67557893198919,7.342888387670755
2000,OC,71.72999999999999,66.74,370.92810287475584,78.7,26823.018,5,6.681025222360674,6.026457561557066,1.0816811419327426,6.084009058368036,1.9975505681505792
2000,SA,73.92307692307692,67.48461538461538,531.306957244873,71.46000000000001,9697.09196,6,4.787092338761656,4.638136751936983,1.2687085486564023,4.3085689239535405,2.0654287986998954
2000,WD,68.9,64.1,598.5001220703125,66.5,9914.567,7,0.08727925063378095,0.1557186429982096,0.035719650994534946,0.09569727518445958,0.0755239554735605
2001,AF,56.43518518518518,53.172222222222224,155.5253320121765,54.73061224489796,3539.111542857143,8,6.347284184573805,6.103489782028149,1.7340048820223029,5.653973363964525,2.9820661507120914
2001,AS,73.03793103448275,67.67241379310344,765.6667088728684,70.25862068965517,12851.381103448277,9,8.823421991148539,8.165733718198922,4.0125178996991036,7.573298440568426,6.621589617071918
2001,EU,79.6051282051282,72.7,1584.2659903133617,75.62058823529412,24512.049111764707,10,7.060143268410361,6.9097841892363405,2.3168300820176744,6.344418876470158,3.2847567109599574
2001,NA,74.92857142857143,69.63809523809525,975.0577837626139,72.1875,13821.171287500001,11,5.927657586043914,5.858439190847367,0.5147879134474912,8.67557893198919,7.450351178702451
2001,OC,71.925,67.075,327.63974714279175,78.7,27167.318,12,6.7506337816353685,6.0643208563648905,1.107206706639504,6.137701804368472,1.985013536963072
2001,SA,74.1076923076923,67.57692307692308,540.4775034586588,71.61,9656.92457,13,0.23460662570360213,0.3289081581376827,0.05206381391997372,0.2410694718387063,0.12333415101246814
2002,AF,56.82592592592592,53.59444444444444,161.3972844314575,55.13673469387755,3692.2906122448976,14,6.433094736093469,6.222302189873375,1.781592100795601,5.749015695965301,3.191267410199875
2002,AS,73.2655172413793,67.96206896551723,782.7633253026892,70.52413793103449,13521.640948275863,15,8.827289133330467,8.26144371340758,4.40465511977238,7.610146403509901,6.823732601030173
2002,EU,79.61538461538461,72.93333333333334,1725.148769603056,75.7235294117647,25159.69495,16,7.191211765933549,7.007447449653341,2.5169009415696415,6.456278763971071,3.3822241203112657
2002,NA,75.27619047619048,69.87619047619049,1046.9370579189724,72.5,14133.4470875,17,5.9936406995230485,5.858439190847367,0.5922555362807456,8.747169259989775,7.730802221006392
2002,OC,72.1,67.075,355.4714689254761,78.9,28065.855,18,6.892751256821207,6.22839513386544,1.076872224191138,6.309518591569876,1.909040511717979
2002,SA,74.48461538461538,67.97692307692307,529.5792617797852,72.09,9413.51462,19,0.37914106475314924,0.525645370511036,0.09004509931063115,0.3886332091460325,0.16363815655810798
2003,AF,57.20925925925926,54.074074074074076,175.04278598785402,55.54897959183673,3821.420602040816,20,6.56831136273053,6.312825929184029,1.8926379457998035,5.847760975966104,3.4629600483010874
2003,AS,73.62413793103448,68.18275862068965,822.6586641584124,70.8,14392.1169,21,8.883362694968422,8.371878323263722,4.693778564251703,7.656469556922048,7.029784383132891
2003,EU,79.76410256410257,73.20256410256411,1829.021884245031,75.8529411764706,25819.864185294115,22,7.241484614298603,7.093391118820293,2.688394807043952,6.505497114471474,3.5103470523295677
2003,NA,75.4095238095238,70.08571428571429,1108.549501630995,72.6375,14543.94010625,23,6.08224659476647,5.942527258066399,0.5961964706759348,8.854554751990648,7.983753962689225
2003,OC,72.33500000000001,67.28,356.8873248100281,79.2,28876.287,24,6.907253040003432,6.288345350644491,1.0977865771837148,6.363211337570309,1.9414225432745675
2003,SA,74.52307692307691,68.12307692307692,537.093142191569,72.24,9517.2634,25,0.5697589481373271,0.7322574236598811,0.1098214080269686,0.5851413543721264,0.23645395695354887
2004,AF,57.714814814814815,54.577777777777776,182.14780227661132,56.097959183673474,4054.7151204081633,26,6.693126710395497,6.4401249375896334,1.923777289779054,5.967489627967083,3.8767976819743915
2004,AS,73.9551724137931,68.49310344827586,833.8460677010672,71.13448275862069,15718.011155172413,27,9.045782666609373,8.526486777062317,5.051047175359857,7.828075784335216,7.383715680578763
2004,EU,80.19487179487179,73.57948717948717,1957.3774503820082,76.33235294117648,26953.824549999998,28,7.293552921533845,7.1305031577787545,2.8737578140494127,6.583799035722112,3.654012717106
2004,NA,75.54761904761905,70.17619047619048,1175.1446990966797,72.85625,15004.23048125,29,6.084131826580158,5.989698612847814,0.7107391923675522,8.926145079991233,8.274164742611005
2004,OC,72.34,67.39500000000001,398.03898334503174,79.4,29806.734,30,7.043569801916384,6.439798529875773,1.1695875098471218,6.5028124771714495,2.135436131504883
2004,SA,74.88461538461539,68.49230769230769,562.8889973958334,72.63,10138.86347,31,0.7778326816482597,0.9396290799453055,0.12290406988443237,0.7772664182920614,0.2962044102332728
2005,AF,58.266666666666666,55.083333333333336,186.8479981994629,56.634693877551015,4246.14957755102,32,6.785438061272721,6.526405376620101,1.8788009515963497,6.042782903967694,4.129800920168512
2005,AS,74.2,68.70344827586207,817.6874599456787,71.34482758620689,16528.608144827587,33,9.104756584883766,8.598006333921536,5.336254860031261,7.874398937747351,7.697132216017187
2005,EU,80.35128205128204,73.75384615384615,2059.843753590303,76.46176470588235,27957.979682352943,34,7.412053206965762,7.278951313612588,3.03365070440625,6.693421725473005,3.801504018618356
2005,NA,75.86190476190475,70.53809523809524,1232.589271121555,73.1625,15476.7778125,35,6.136918317363463,6.061481109254306,1.0380503781873123,9.176711227993277,8.418836564052379
2005,OC,72.47999999999999,67.57000000000001,515.6317727830675,80.1,30270.248,36,7.159584067374212,6.581785885405097,1.2641447354226907,6.613777485572356,2.3021514116755553
2005,SA,75.1923076923077,68.83846153846153,596.8604850769043,72.94,10673.0025,37,1.022912817427919,1.191057718152173,0.15598481236332962,0.9898458616407346,0.3621001169789366
2006,AF,58.916666666666664,55.696296296296296,198.73288619995117,57.22857142857143,4457.272810204082,38,6.934956446496386,6.584397147115983,1.9440690429700216,6.1390595519684865,4.521150649341792
2006,AS,74.59655172413794,68.84482758620689,841.1362672533307,71.61379310344829,17782.453410344828,39,9.217870493705153,8.793633357095274,5.795237431098088,8.011262800101413,8.110443041536703
2006,EU,80.65128205128205,74.23076923076923,2224.742000804228,76.84411764705882,29282.186097058824,40,7.523371656916968,7.368801513196228,3.239226287051605,6.787384030973772,4.0106351952068025
2006,NA,76.15714285714286,70.75714285714287,1306.4462220933701,73.425,16146.81311875,41,6.153885403686676,6.1414673195358205,0.8869550603777584,9.140916063992986,8.583754962109044
2006,OC,72.525,67.765,461.34789657592773,80.0,30798.63,42,7.243694409831132,6.707996868097837,1.5092408091324976,6.699685879173057,2.4818701452557335
2006,SA,75.41538461538461,69.14615384615385,684.9159266153971,73.17999999999999,11248.80329,43,1.2540282731061723,1.4105830246228237,0.19895447714284653,1.1936591423770935,0.46037668183874914
2007,AF,59.529629629629625,56.23148148148148,214.17055824279785,57.79795918367347,4772.141063265306,44,7.031168276988133,6.738570390629441,2.0100683622360624,6.25508525596943,4.833369027039964
